Regulator	Target	-log10(min(Praw))*dir	PeakSetSupport	AllMotifPvals	Motifs	MotifTf
Pax5	Spint1	-.5	GF_LI_Monocyte_v_Hh_LI_Monocyte_FC1_FDR10_up	4.6892577087e-05, 4.6892577087e-05, 0.151340668046, 0.152033951499, 0.152033951499, 0.183699736473, 0.231752439059, 0.253875179642, 0.31495075821, 0.321364321983, 0.333699934073, 0.353734400995, 0.353734400995, 0.38334197323, 0.400826834048, 0.410306380023, 0.518338123357, 0.780981791642, 0.780981791642	M1718_1.01_mm9, E11256_hg19, E11257_hg19, E11258_hg19, E11259_hg19, E11260_hg19, E11261_hg19, E11262_hg19, E11263_hg19, E11264_hg19, E11265_hg19, M1718_1.01_hg19, M3590_1.01_hg19, M3591_1.01_hg19, M4341_1.01_hg19, M4342_1.01_hg19, M4357_1.01_hg19, M4362_1.01_hg19, M5526_1.01_hg19, M6227_1.01_hg19, M6228_1.01_hg19, PAX-2-like_TFClassSubFam, factors_TFClassSubFam, (partial_TFClassSubFam, homeobox)_TFClassSubFam	Pax5
Pax5	Tex9	-.5	GF_LI_Monocyte_v_Hh_LI_Monocyte_FC1_FDR10_up	4.6892577087e-05, 4.6892577087e-05, 0.151340668046, 0.152033951499, 0.152033951499, 0.183699736473, 0.231752439059, 0.253875179642, 0.31495075821, 0.321364321983, 0.333699934073, 0.353734400995, 0.353734400995, 0.38334197323, 0.400826834048, 0.410306380023, 0.518338123357, 0.780981791642, 0.780981791642	M1718_1.01_mm9, E11256_hg19, E11257_hg19, E11258_hg19, E11259_hg19, E11260_hg19, E11261_hg19, E11262_hg19, E11263_hg19, E11264_hg19, E11265_hg19, M1718_1.01_hg19, M3590_1.01_hg19, M3591_1.01_hg19, M4341_1.01_hg19, M4342_1.01_hg19, M4357_1.01_hg19, M4362_1.01_hg19, M5526_1.01_hg19, M6227_1.01_hg19, M6228_1.01_hg19, PAX-2-like_TFClassSubFam, factors_TFClassSubFam, (partial_TFClassSubFam, homeobox)_TFClassSubFam	Pax5
Pax5	Tlr11	-.5	GF_LI_Monocyte_v_Hh_LI_Monocyte_FC1_FDR10_up	4.6892577087e-05, 4.6892577087e-05, 0.151340668046, 0.152033951499, 0.152033951499, 0.183699736473, 0.231752439059, 0.253875179642, 0.31495075821, 0.321364321983, 0.333699934073, 0.353734400995, 0.353734400995, 0.38334197323, 0.400826834048, 0.410306380023, 0.518338123357, 0.780981791642, 0.780981791642	M1718_1.01_mm9, E11256_hg19, E11257_hg19, E11258_hg19, E11259_hg19, E11260_hg19, E11261_hg19, E11262_hg19, E11263_hg19, E11264_hg19, E11265_hg19, M1718_1.01_hg19, M3590_1.01_hg19, M3591_1.01_hg19, M4341_1.01_hg19, M4342_1.01_hg19, M4357_1.01_hg19, M4362_1.01_hg19, M5526_1.01_hg19, M6227_1.01_hg19, M6228_1.01_hg19, PAX-2-like_TFClassSubFam, factors_TFClassSubFam, (partial_TFClassSubFam, homeobox)_TFClassSubFam	Pax5
Pax5	Tnfsf8	-.5	GF_LI_Monocyte_v_Hh_LI_Monocyte_FC1_FDR10_up	4.6892577087e-05, 4.6892577087e-05, 0.151340668046, 0.152033951499, 0.152033951499, 0.183699736473, 0.231752439059, 0.253875179642, 0.31495075821, 0.321364321983, 0.333699934073, 0.353734400995, 0.353734400995, 0.38334197323, 0.400826834048, 0.410306380023, 0.518338123357, 0.780981791642, 0.780981791642	M1718_1.01_mm9, E11256_hg19, E11257_hg19, E11258_hg19, E11259_hg19, E11260_hg19, E11261_hg19, E11262_hg19, E11263_hg19, E11264_hg19, E11265_hg19, M1718_1.01_hg19, M3590_1.01_hg19, M3591_1.01_hg19, M4341_1.01_hg19, M4342_1.01_hg19, M4357_1.01_hg19, M4362_1.01_hg19, M5526_1.01_hg19, M6227_1.01_hg19, M6228_1.01_hg19, PAX-2-like_TFClassSubFam, factors_TFClassSubFam, (partial_TFClassSubFam, homeobox)_TFClassSubFam	Pax5
Pax5	Trim65	-.5	GF_LI_Monocyte_v_Hh_LI_Monocyte_FC1_FDR10_up	4.6892577087e-05, 4.6892577087e-05, 0.151340668046, 0.152033951499, 0.152033951499, 0.183699736473, 0.231752439059, 0.253875179642, 0.31495075821, 0.321364321983, 0.333699934073, 0.353734400995, 0.353734400995, 0.38334197323, 0.400826834048, 0.410306380023, 0.518338123357, 0.780981791642, 0.780981791642	M1718_1.01_mm9, E11256_hg19, E11257_hg19, E11258_hg19, E11259_hg19, E11260_hg19, E11261_hg19, E11262_hg19, E11263_hg19, E11264_hg19, E11265_hg19, M1718_1.01_hg19, M3590_1.01_hg19, M3591_1.01_hg19, M4341_1.01_hg19, M4342_1.01_hg19, M4357_1.01_hg19, M4362_1.01_hg19, M5526_1.01_hg19, M6227_1.01_hg19, M6228_1.01_hg19, PAX-2-like_TFClassSubFam, factors_TFClassSubFam, (partial_TFClassSubFam, homeobox)_TFClassSubFam	Pax5
Pax5	Tstd1	-.5	GF_LI_Monocyte_v_Hh_LI_Monocyte_FC1_FDR10_up	4.6892577087e-05, 4.6892577087e-05, 0.151340668046, 0.152033951499, 0.152033951499, 0.183699736473, 0.231752439059, 0.253875179642, 0.31495075821, 0.321364321983, 0.333699934073, 0.353734400995, 0.353734400995, 0.38334197323, 0.400826834048, 0.410306380023, 0.518338123357, 0.780981791642, 0.780981791642	M1718_1.01_mm9, E11256_hg19, E11257_hg19, E11258_hg19, E11259_hg19, E11260_hg19, E11261_hg19, E11262_hg19, E11263_hg19, E11264_hg19, E11265_hg19, M1718_1.01_hg19, M3590_1.01_hg19, M3591_1.01_hg19, M4341_1.01_hg19, M4342_1.01_hg19, M4357_1.01_hg19, M4362_1.01_hg19, M5526_1.01_hg19, M6227_1.01_hg19, M6228_1.01_hg19, PAX-2-like_TFClassSubFam, factors_TFClassSubFam, (partial_TFClassSubFam, homeobox)_TFClassSubFam	Pax5
Pax5	Tubg1	-.5	GF_LI_Monocyte_v_Hh_LI_Monocyte_FC1_FDR10_up	4.6892577087e-05, 4.6892577087e-05, 0.151340668046, 0.152033951499, 0.152033951499, 0.183699736473, 0.231752439059, 0.253875179642, 0.31495075821, 0.321364321983, 0.333699934073, 0.353734400995, 0.353734400995, 0.38334197323, 0.400826834048, 0.410306380023, 0.518338123357, 0.780981791642, 0.780981791642	M1718_1.01_mm9, E11256_hg19, E11257_hg19, E11258_hg19, E11259_hg19, E11260_hg19, E11261_hg19, E11262_hg19, E11263_hg19, E11264_hg19, E11265_hg19, M1718_1.01_hg19, M3590_1.01_hg19, M3591_1.01_hg19, M4341_1.01_hg19, M4342_1.01_hg19, M4357_1.01_hg19, M4362_1.01_hg19, M5526_1.01_hg19, M6227_1.01_hg19, M6228_1.01_hg19, PAX-2-like_TFClassSubFam, factors_TFClassSubFam, (partial_TFClassSubFam, homeobox)_TFClassSubFam	Pax5
Pax5	Ube2cbp	-.5	GF_LI_Monocyte_v_Hh_LI_Monocyte_FC1_FDR10_up	4.6892577087e-05, 4.6892577087e-05, 0.151340668046, 0.152033951499, 0.152033951499, 0.183699736473, 0.231752439059, 0.253875179642, 0.31495075821, 0.321364321983, 0.333699934073, 0.353734400995, 0.353734400995, 0.38334197323, 0.400826834048, 0.410306380023, 0.518338123357, 0.780981791642, 0.780981791642	M1718_1.01_mm9, E11256_hg19, E11257_hg19, E11258_hg19, E11259_hg19, E11260_hg19, E11261_hg19, E11262_hg19, E11263_hg19, E11264_hg19, E11265_hg19, M1718_1.01_hg19, M3590_1.01_hg19, M3591_1.01_hg19, M4341_1.01_hg19, M4342_1.01_hg19, M4357_1.01_hg19, M4362_1.01_hg19, M5526_1.01_hg19, M6227_1.01_hg19, M6228_1.01_hg19, PAX-2-like_TFClassSubFam, factors_TFClassSubFam, (partial_TFClassSubFam, homeobox)_TFClassSubFam	Pax5
Pax5	Usp46	-.5	GF_LI_Monocyte_v_Hh_LI_Monocyte_FC1_FDR10_up	4.6892577087e-05, 4.6892577087e-05, 0.151340668046, 0.152033951499, 0.152033951499, 0.183699736473, 0.231752439059, 0.253875179642, 0.31495075821, 0.321364321983, 0.333699934073, 0.353734400995, 0.353734400995, 0.38334197323, 0.400826834048, 0.410306380023, 0.518338123357, 0.780981791642, 0.780981791642	M1718_1.01_mm9, E11256_hg19, E11257_hg19, E11258_hg19, E11259_hg19, E11260_hg19, E11261_hg19, E11262_hg19, E11263_hg19, E11264_hg19, E11265_hg19, M1718_1.01_hg19, M3590_1.01_hg19, M3591_1.01_hg19, M4341_1.01_hg19, M4342_1.01_hg19, M4357_1.01_hg19, M4362_1.01_hg19, M5526_1.01_hg19, M6227_1.01_hg19, M6228_1.01_hg19, PAX-2-like_TFClassSubFam, factors_TFClassSubFam, (partial_TFClassSubFam, homeobox)_TFClassSubFam	Pax5
Pax5	Wdr47	-.5	GF_LI_Monocyte_v_Hh_LI_Monocyte_FC1_FDR10_up	4.6892577087e-05, 4.6892577087e-05, 0.151340668046, 0.152033951499, 0.152033951499, 0.183699736473, 0.231752439059, 0.253875179642, 0.31495075821, 0.321364321983, 0.333699934073, 0.353734400995, 0.353734400995, 0.38334197323, 0.400826834048, 0.410306380023, 0.518338123357, 0.780981791642, 0.780981791642	M1718_1.01_mm9, E11256_hg19, E11257_hg19, E11258_hg19, E11259_hg19, E11260_hg19, E11261_hg19, E11262_hg19, E11263_hg19, E11264_hg19, E11265_hg19, M1718_1.01_hg19, M3590_1.01_hg19, M3591_1.01_hg19, M4341_1.01_hg19, M4342_1.01_hg19, M4357_1.01_hg19, M4362_1.01_hg19, M5526_1.01_hg19, M6227_1.01_hg19, M6228_1.01_hg19, PAX-2-like_TFClassSubFam, factors_TFClassSubFam, (partial_TFClassSubFam, homeobox)_TFClassSubFam	Pax5
Pax5	Zdhhc23	-.5	GF_LI_Monocyte_v_Hh_LI_Monocyte_FC1_FDR10_up	4.6892577087e-05, 4.6892577087e-05, 0.151340668046, 0.152033951499, 0.152033951499, 0.183699736473, 0.231752439059, 0.253875179642, 0.31495075821, 0.321364321983, 0.333699934073, 0.353734400995, 0.353734400995, 0.38334197323, 0.400826834048, 0.410306380023, 0.518338123357, 0.780981791642, 0.780981791642	M1718_1.01_mm9, E11256_hg19, E11257_hg19, E11258_hg19, E11259_hg19, E11260_hg19, E11261_hg19, E11262_hg19, E11263_hg19, E11264_hg19, E11265_hg19, M1718_1.01_hg19, M3590_1.01_hg19, M3591_1.01_hg19, M4341_1.01_hg19, M4342_1.01_hg19, M4357_1.01_hg19, M4362_1.01_hg19, M5526_1.01_hg19, M6227_1.01_hg19, M6228_1.01_hg19, PAX-2-like_TFClassSubFam, factors_TFClassSubFam, (partial_TFClassSubFam, homeobox)_TFClassSubFam	Pax5
Pax5	Zfp365	-.5	GF_LI_Monocyte_v_Hh_LI_Monocyte_FC1_FDR10_up	4.6892577087e-05, 4.6892577087e-05, 0.151340668046, 0.152033951499, 0.152033951499, 0.183699736473, 0.231752439059, 0.253875179642, 0.31495075821, 0.321364321983, 0.333699934073, 0.353734400995, 0.353734400995, 0.38334197323, 0.400826834048, 0.410306380023, 0.518338123357, 0.780981791642, 0.780981791642	M1718_1.01_mm9, E11256_hg19, E11257_hg19, E11258_hg19, E11259_hg19, E11260_hg19, E11261_hg19, E11262_hg19, E11263_hg19, E11264_hg19, E11265_hg19, M1718_1.01_hg19, M3590_1.01_hg19, M3591_1.01_hg19, M4341_1.01_hg19, M4342_1.01_hg19, M4357_1.01_hg19, M4362_1.01_hg19, M5526_1.01_hg19, M6227_1.01_hg19, M6228_1.01_hg19, PAX-2-like_TFClassSubFam, factors_TFClassSubFam, (partial_TFClassSubFam, homeobox)_TFClassSubFam	Pax5
Pax5	Zfp518b	-.5	GF_LI_Monocyte_v_Hh_LI_Monocyte_FC1_FDR10_up	4.6892577087e-05, 4.6892577087e-05, 0.151340668046, 0.152033951499, 0.152033951499, 0.183699736473, 0.231752439059, 0.253875179642, 0.31495075821, 0.321364321983, 0.333699934073, 0.353734400995, 0.353734400995, 0.38334197323, 0.400826834048, 0.410306380023, 0.518338123357, 0.780981791642, 0.780981791642	M1718_1.01_mm9, E11256_hg19, E11257_hg19, E11258_hg19, E11259_hg19, E11260_hg19, E11261_hg19, E11262_hg19, E11263_hg19, E11264_hg19, E11265_hg19, M1718_1.01_hg19, M3590_1.01_hg19, M3591_1.01_hg19, M4341_1.01_hg19, M4342_1.01_hg19, M4357_1.01_hg19, M4362_1.01_hg19, M5526_1.01_hg19, M6227_1.01_hg19, M6228_1.01_hg19, PAX-2-like_TFClassSubFam, factors_TFClassSubFam, (partial_TFClassSubFam, homeobox)_TFClassSubFam	Pax5
Pax5	Zfp553	-.5	GF_LI_Monocyte_v_Hh_LI_Monocyte_FC1_FDR10_up	4.6892577087e-05, 4.6892577087e-05, 0.151340668046, 0.152033951499, 0.152033951499, 0.183699736473, 0.231752439059, 0.253875179642, 0.31495075821, 0.321364321983, 0.333699934073, 0.353734400995, 0.353734400995, 0.38334197323, 0.400826834048, 0.410306380023, 0.518338123357, 0.780981791642, 0.780981791642	M1718_1.01_mm9, E11256_hg19, E11257_hg19, E11258_hg19, E11259_hg19, E11260_hg19, E11261_hg19, E11262_hg19, E11263_hg19, E11264_hg19, E11265_hg19, M1718_1.01_hg19, M3590_1.01_hg19, M3591_1.01_hg19, M4341_1.01_hg19, M4342_1.01_hg19, M4357_1.01_hg19, M4362_1.01_hg19, M5526_1.01_hg19, M6227_1.01_hg19, M6228_1.01_hg19, PAX-2-like_TFClassSubFam, factors_TFClassSubFam, (partial_TFClassSubFam, homeobox)_TFClassSubFam	Pax5
Pax5	Zfp866	-.5	GF_LI_Monocyte_v_Hh_LI_Monocyte_FC1_FDR10_up	4.6892577087e-05, 4.6892577087e-05, 0.151340668046, 0.152033951499, 0.152033951499, 0.183699736473, 0.231752439059, 0.253875179642, 0.31495075821, 0.321364321983, 0.333699934073, 0.353734400995, 0.353734400995, 0.38334197323, 0.400826834048, 0.410306380023, 0.518338123357, 0.780981791642, 0.780981791642	M1718_1.01_mm9, E11256_hg19, E11257_hg19, E11258_hg19, E11259_hg19, E11260_hg19, E11261_hg19, E11262_hg19, E11263_hg19, E11264_hg19, E11265_hg19, M1718_1.01_hg19, M3590_1.01_hg19, M3591_1.01_hg19, M4341_1.01_hg19, M4342_1.01_hg19, M4357_1.01_hg19, M4362_1.01_hg19, M5526_1.01_hg19, M6227_1.01_hg19, M6228_1.01_hg19, PAX-2-like_TFClassSubFam, factors_TFClassSubFam, (partial_TFClassSubFam, homeobox)_TFClassSubFam	Pax5
